time [s];velocity A [m/s];velocity B [m/s]
0;0;20
1;3;19
2;5;18
3;2;15
4;8;25
5;12;36
6;10;35
7;13;37
8;23;40
9;24;41
10;36;43
11;35;45
12;34;46
13;36;46
14;28;47
15;18;46
16;16;45
17;15;41
18;14;40
19;10;35
20;6;35
21;5;36
22;4;32
23;6;32
24;6;31
25;7;29
26;8;18
27;8;18
28;12;17
29;18;15
30;24;15
31;28;16
32;33;13
33;33;13
34;38;12
35;42;10
36;44;5
37;43;3
38;44;5
39;44;6
40;40;8
41;39;9
42;38;21
43;39;21
44;40;18
45;40;31
46;40;31
47;35;32
48;35;18
49;36;19
50;20;20
51;24;25
52;28;25
53;28;30
54;29;30
55;33;30
56;21;31
57;21;32
58;25;36
59;28;39
60;28;39
61;29;40
62;31;40
63;31;40
64;36;41
65;36;42
66;37;45
67;31;45
68;31;45
69;29;40
70;28;42
71;27;39
72;21;38
73;21;38
74;19;37
75;18;25
76;21;25
77;22;26
78;23;15
79;40;15
80;41;12
81;36;12
82;35;13
83;29;10
84;28;10
85;31;10
86;25;9
87;24;8
88;18;11
89;12;12
90;11;13
91;17;15
92;21;20
93;15;20
94;12;21
95;8;18
96;8;19
97;6;17
98;5;16
99;3;15
100;0;14
